Group,Prize
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
1 Box of Chocolate,Ferrero Chocolate x 1 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
2 Box of Chocolate,Ferrero Chocolate x 2 box
Electronic Device,JBL Flip6
Electronic Device,JBL Go4
Electronic Device,JBL Go4
Electronic Device,JBL Go4
Electronic Device,Microwave - SHARP 
Electronic Device,Microwave - SHARP 
Electronic Device,Microwave - SHARP 
Electronic Device,Small Rice Cooker - SHARP
Electronic Device,Small Rice Cooker - SHARP
Electronic Device,Big Rice Cooker - Tefel
Electronic Device,Smart Watch - Mi
Electronic Device,Baseus - Earphone
Electronic Device,Baseus - Earphone
Electronic Device,Power Bank- 10000 mAh
Electronic Device,Stream Iron - Philips
Electronic Device,Hair Dryer - Philips
Electronic Device,Hair Dryer - Philips
Electronic Device,Hair Dryer - Philips
Electronic Device,Hair Dryer - Philips
Electronic Device,Hair Dryer - Philips
Electronic Device,BBQ & Hotpot - OTTO
Electronic Device,BBQ - KASHIWA
Electronic Device,BBQ - KASHIWA
Electronic Device,BBQ - KASHIWA
Electronic Device,Electric Pan - OTTO
Electronic Device,Electric Pan - SMARTHOME
Electronic Device,Electric Pan - OTTO
Electronic Device,Electric Pan - besico
Electronic Device,Vacuum Cleaner
Electronic Device,Blender and Grinder - SHARP
Electronic Device,Blender and Grinder - SHARP
Electronic Device,Convection Oven - KASHIWA
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,50 USD Cash
Cash Prize,100 USD Cash
Cash Prize,100 USD Cash
Cash Prize,100 USD Cash
Cash Prize,100 USD Cash
Cash Prize,100 USD Cash
Flight Ticket,Vientiane-Bangkok-Vientiane
Flight Ticket,Vientiane-Hanoi-Vientiane
Flight Ticket,Vientiane-Ho Chi Minh-Vientiane
Flight Ticket,Vientiane-Phnom Penh-Vientiane
